id,category,tamil,translit,english
1,disabilities,எனக்கு ஊனம் உள்ளது,Enakku unam ullatu,I have a disability.
2,disabilities,எனக்கு உதவி ேதைவ,Enakku utavi tevai,I need assistance.
3,disabilities,ஊனமுற்ற கழிப்பைற உள்ளதா?,Unamurra kalipparai ullata?,Is there a disabled toilet?
4,disabilities,லிப்ட் இருக்கிறதா?,Lipt irukkirata?,Is there a lift?
5,disabilities,இந்தத் ெதருைவக் கடக்க எனக்கு உதவ முடியுமா?,Intat teruvaik katakka enakku utava mutiyuma?,Could you help me cross this street?
6,disabilities,சக்கர நாற்காலி இடம் உள்ளதா?,Cakkara narkali itam ullata?,Is there a wheelchair space?
